CA2054325C	A	20	36	oligonucleotides	FAMILY
CA2054325C	A	221	236	oligonucleotide	FAMILY
CA2054325C	T	10	26	oligonucleotides	FAMILY
CA2073500C	A	230	240	nucleotide	FAMILY
CA2073500C	A	374	390	oligonucleotides	FAMILY
CA2098842C	A	141	153	phospholipid	FAMILY
CA2098842C	T	17	30	phospholipids	FAMILY
CA2110291C	A	838	853	dextran sulfate	FAMILY
CA2110291C	A	867	878	polysulfate	FAMILY
CA2110291C	A	926	941	dextran sulfate	FAMILY
CA2110291C	A	956	962	sulfur	SYSTEMATIC
CA2117257C	A	78	86	alginate	FAMILY
CA2117257C	T	0	8	Alginate	FAMILY
CA2119782C	A	12	22	carbamates	FAMILY
CA2119782C	A	128	129	H	FORMULA
CA2119782C	A	160	173	C1- C10 alkyl	FAMILY
CA2119782C	A	256	269	-C1-C10 alkyl	FAMILY
CA2119782C	A	371	372	H	FORMULA
CA2119782C	A	404	417	C1-C10 -alkyl	FAMILY
CA2119782C	A	476	477	H	FORMULA
CA2119782C	A	483	489	methyl	SYSTEMATIC
CA2119782C	A	525	526	H	FORMULA
CA2119782C	A	59	72	cyclic sulfer	SYSTEMATIC
CA2119782C	T	0	9	Carbamate	FAMILY
CA2119782C	T	21	36	thiaphysovenine	TRIVIAL
CA2129897C	A	0	10	Coenzyme A	TRIVIAL
CA2129897C	A	111	127	arachidonic acid	TRIVIAL
CA2129897C	A	416	419	CoA	ABBREVIATION
CA2129897C	A	548	551	CoA	ABBREVIATION
CA2129897C	A	72	88	arachidonic acid	TRIVIAL
CA2129897C	T	0	3	Coa	ABBREVIATION
CA2137764C	A	117	146	polyalkylene glycol glyceride	FAMILY
CA2137764C	A	169	206	sters of C8-C18 saturated fatty acids	FAMILY
CA2137764C	A	212	220	glycerol	TRIVIAL
CA2137764C	A	225	244	polyethylene glycol	FAMILY
CA2137764C	A	415	428	staurosporine	TRIVIAL
CA2137764C	A	70	83	staurosporine	TRIVIAL
CA2137764C	T	116	145	polyalkylene glycol glyceride	FAMILY
CA2137764C	T	69	82	staurosporine	TRIVIAL
CA2144312C	A	160	183	2,5 octadienedioic acid	SYSTEMATIC
CA2144312C	A	185	208	1,7 octadienedioic acid	SYSTEMATIC
CA2144312C	A	210	236	2,4,6 octatrienedioic acid	SYSTEMATIC
CA2144312C	A	242	272	1,3,5,7 nonatetraenedioic acid	SYSTEMATIC
CA2144312C	A	274	300	2,5,8 decatrienedioic acid	SYSTEMATIC
CA2144312C	A	28	55	polyunsaturated dioic acids	FAMILY
CA2144312C	A	302	327	3,6 dodecadienedioic acid	SYSTEMATIC
CA2144312C	A	329	357	3,13 hexadecadienedioic acid	SYSTEMATIC
CA2144312C	A	429	452	unsaturated dioic acids	FAMILY
CA2144312C	A	80	86	carbon	SYSTEMATIC
CA2144312C	T	0	40	Unsaturated aliphatic dicarboxylic acids	FAMILY
CA2155014C	A	134	142	benzoate	SYSTEMATIC
CA2155014C	A	178	185	acetate	SYSTEMATIC
CA2155014C	A	199	210	C2 benzoate	SYSTEMATIC
CA2155014C	A	234	244	C4 acetate	SYSTEMATIC
CA2155014C	A	276	288	baccatin III	TRIVIAL
CA2155014C	A	292	317	10-desacetyl baccatin III	SYSTEMATIC
CA2155014C	A	380	387	hydroxy	SYSTEMATIC
CA2155014C	A	414	421	R31COO-	FORMULA
CA2155014C	A	429	436	R30COO-	FORMULA
CA2155014C	A	490	491	H	FORMULA
CA2155014C	A	493	504	C1-C6 alkyl	FAMILY
CA2155014C	A	506	519	C2-C6 alkenyl	FAMILY
CA2155014C	A	521	534	C2-C6 alkynyl	FAMILY
CA2155014C	A	536	551	monocyclic aryl	FAMILY
CA2155014C	A	555	576	monocyclic heteroaryl	FAMILY
CA2155014C	A	57	69	baccatin III	FAMILY
CA2155014C	A	73	98	10-desacetyl baccatin III	SYSTEMATIC
CA2155014C	T	31	43	baccatin iii	FAMILY
CA2156289C	A	126	159	poly(adenylic acid-uridylic acid)	FAMILY
CA2156289C	A	359	409	3-O-(4-dimethylaminobutanoyl)-1,2-O-dioleylgycerol	SYSTEMATIC
CA2156289C	A	411	469	3-O-(2-dimethylamino-ethyl)carbamoyl-1,2-O-dioleylglycerol	SYSTEMATIC
CA2156289C	A	471	527	3-O-(2-diethylaminoethyl) carbamoyl-1,2-O-dioleylgycerol	SYSTEMATIC
CA2156289C	A	532	589	2-O-(2-diethylaminoethyl)carbamoyl-1,3-O-dioleoylglycerol	SYSTEMATIC
CA2156289C	A	594	627	poly(adenylic acid-uridylic acid)	FAMILY
CA2157128C	A	160	168	hydrogen	SYSTEMATIC
CA2157128C	A	179	190	C1-C6 alkyl	FAMILY
CA2157128C	A	214	222	hydrogen	SYSTEMATIC
CA2157128C	A	228	240	C1-C6 alkoxy	FAMILY
CA2157128C	A	264	272	hydrogen	SYSTEMATIC
CA2157128C	A	276	283	halogen	FAMILY
CA2157128C	A	294	305	C1-C6 alkyl	FAMILY
CA2157128C	A	307	319	C1-C6 alkoxy	FAMILY
CA2157128C	A	321	329	hydroxyl	SYSTEMATIC
CA2157128C	A	331	344	C2-C6 acyloxy	FAMILY
CA2157128C	A	348	368	methoxyethoxymethoxy	SYSTEMATIC
CA2157128C	A	392	400	hydrogen	SYSTEMATIC
CA2157128C	A	404	411	halogen	FAMILY
CA2157128C	A	4	16	camptothecin	FAMILY
CA2157128C	A	438	449	C1-C6 alkyl	FAMILY
CA2157128C	A	451	474	C3-C6 unsaturated alkyl	FAMILY
CA2157128C	A	476	490	alkylthioalkyl	FAMILY
CA2157128C	A	492	503	alkoxyalkyl	FAMILY
CA2157128C	A	505	512	pyridyl	SYSTEMATIC
CA2157128C	A	528	534	phenyl	SYSTEMATIC
CA2157128C	A	618	626	hydrogen	SYSTEMATIC
CA2157128C	T	0	12	Camptothecin	FAMILY
CA2157590C	A	147	158	terbinafine	TRIVIAL
CA2157590C	A	7	18	terbinafine	TRIVIAL
CA2157590C	T	7	18	terbinafine	TRIVIAL
CA2157792C	A	27	40	beta.-alanine	FAMILY
CA2157792C	T	0	39	N-(3-piperidinyl-carbonyl)-beta-alanine	FAMILY
CA2158610C	A	0	38	17-Deoxycorticoid-21-carboxylic esters	FAMILY
CA2158610C	A	101	105	CHOH	FORMULA
CA2158610C	A	110	114	CHCl	FORMULA
CA2158610C	A	116	119	CH2	FORMULA
CA2158610C	A	121	124	C=O	FORMULA
CA2158610C	A	152	153	H	FORMULA
CA2158610C	A	155	156	F	FORMULA
CA2158610C	A	160	162	Cl	FORMULA
CA2158610C	A	169	170	H	FORMULA
CA2158610C	A	172	173	F	FORMULA
CA2158610C	A	177	180	CH3	FORMULA
CA2158610C	A	190	194	aryl	FAMILY
CA2158610C	A	198	205	hetaryl	FAMILY
CA2158610C	A	218	219	H	FORMULA
CA2158610C	A	223	229	methyl	SYSTEMATIC
CA2158610C	A	325	327	OH	FORMULA
CA2158610C	A	347	362	carboxylic acid	FAMILY
CA2158610C	A	383	408	R(5)-CO-[(C1-C4)-alkyl]-R	FAMILY
CA2158610C	A	643	662	corticoid 21-esters	FAMILY
CA2158610C	A	686	701	aryl or hetaryl	FAMILY
CA2158610C	A	718	723	ester	FAMILY
CA2158610C	A	764	774	corticoids	FAMILY
CA2158610C	A	818	826	hydroxyl	SYSTEMATIC
CA2158610C	T	0	47	17-deoxycorticosteroid-21-/o/-carboxylic esters	FAMILY
CA2168021C	A	190	198	hydrogen	SYSTEMATIC
CA2168021C	A	202	211	C1-6alkyl	FAMILY
CA2168021C	A	219	227	hydrogen	SYSTEMATIC
CA2168021C	A	231	240	C1-6alkyl	FAMILY
CA2168021C	A	248	256	hydrogen	SYSTEMATIC
CA2168021C	A	260	269	C1-6alkyl	FAMILY
CA2168021C	A	277	285	hydrogen	SYSTEMATIC
CA2168021C	A	287	291	halo	FAMILY
CA2168021C	A	293	302	C1-6alkyl	FAMILY
CA2168021C	A	304	311	hydroxy	SYSTEMATIC
CA2168021C	A	313	325	C1-5alkyloxy	FAMILY
CA2168021C	A	327	334	aryloxy	FAMILY
CA2168021C	A	338	349	arylmethoxy	FAMILY
CA2168021C	A	499	507	hydrogen	SYSTEMATIC
CA2168021C	A	521	532	heterocycle	FAMILY
CA2168021C	A	561	568	alkenyl	FAMILY
CA2168021C	A	572	579	alkynyl	FAMILY
CA2168021C	A	647	655	hydrogen	SYSTEMATIC
CA2168021C	A	657	661	halo	FAMILY
CA2168021C	A	663	672	C1-6alkyl	FAMILY
CA2168021C	A	674	685	C3-6alkenyl	FAMILY
CA2168021C	A	687	698	C3-6alkynyl	FAMILY
CA2168021C	A	700	707	hydroxy	SYSTEMATIC
CA2168021C	A	709	721	C1-6alkyloxy	FAMILY
CA2168021C	A	723	728	cyano	SYSTEMATIC
CA2168021C	A	730	744	aminoC1-6alkyl	FAMILY
CA2168021C	A	746	754	carboxyl	SYSTEMATIC
CA2168021C	A	756	776	C1-6alkyloxycarbonyl	FAMILY
CA2168021C	A	778	783	nitro	SYSTEMATIC
CA2168021C	A	785	790	amino	SYSTEMATIC
CA2168021C	A	792	805	aminocarbonyl	SYSTEMATIC
CA2168021C	A	807	829	C1-6alkylcarbonylamino	FAMILY
CA2168021C	A	834	857	mono-di(C1-6alkyl)amino	FAMILY
CA2168021C	A	866	883	heterocyclic ring	FAMILY
CA2168021C	A	908	916	nitrogen	SYSTEMATIC
CA2168021C	T	17	34	dihydrobenzopyran	FAMILY
CA2173208C	A	0	15	Levobupivacaine	SYSTEMATIC
CA2173208C	T	0	15	Levobupivacaine	SYSTEMATIC
CA2173839C	A	216	227	cyclosporin	FAMILY
CA2175372C	A	234	248	C1-4alkanediyl	FAMILY
CA2175372C	A	256	276	bicyclic heterocycle	FAMILY
CA2175372C	A	332	343	C2-6alkenyl	FAMILY
CA2175372C	A	345	356	C2-6alkynyl	FAMILY
CA2175372C	A	358	372	C3-6cycloalkyl	FAMILY
CA2175372C	A	401	410	C1-4alkyl	FAMILY
CA2175372C	A	412	422	C1-19alkyl	FAMILY
CA2175372C	A	451	465	C3-6cycloalkyl	FAMILY
CA2175372C	A	467	471	halo	FAMILY
CA2175372C	A	473	485	C1-6alkyloxy	FAMILY
CA2175372C	A	489	494	cyano	SYSTEMATIC
CA2175372C	A	537	546	C1-4alkyl	FAMILY
CA2175372C	T	6	50	9-hydroxy-pyrido[1,2-a]pyrimidin-4-one ether	FAMILY
CA2177961C	A	79	89	dimeticone	TRIVIAL
CA2177961C	T	7	17	dimeticone	TRIVIAL
CA2180660C	T	6	16	piperidine	SYSTEMATIC
CA2182620C	A	109	110	H	FORMULA
